Date,Close
1/2/2015,11
1/5/2015,11.9
1/6/2015,12.7
1/7/2015,11.8
1/8/2015,11.4
1/9/2015,11.5
1/12/2015,12
1/13/2015,11.9
1/14/2015,11.2
1/15/2015,12.6
1/16/2015,12.5
1/20/2015,13.5
1/21/2015,13.5
1/22/2015,13.1
1/23/2015,12.2
1/26/2015,13.1
1/27/2015,13.4
1/28/2015,12.4
1/29/2015,11.9
1/30/2015,12.5
2/2/2015,12.5
2/3/2015,12.1
2/4/2015,12
2/5/2015,11.9
2/6/2015,11.2
2/9/2015,10.9
2/10/2015,10.3
2/11/2015,10.3
2/12/2015,10.4
2/13/2015,11
2/17/2015,10.6
2/18/2015,10.9
2/19/2015,10.8
2/20/2015,10.4
2/23/2015,10.5
2/24/2015,10.4
2/25/2015,10.8
2/26/2015,10.9
2/27/2015,11.3
3/2/2015,10.9
3/3/2015,11
3/4/2015,10.5
3/5/2015,10.5
3/6/2015,10.3
3/9/2015,10.1
3/10/2015,9.4
3/11/2015,10.3
3/12/2015,9.63
3/13/2015,9.99
3/16/2015,9.75
3/17/2015,9.9
3/18/2015,10.3
3/19/2015,10.6
3/20/2015,10.6
3/23/2015,11.1
3/24/2015,11
3/25/2015,10.7
3/26/2015,10.6
3/27/2015,10.3
3/30/2015,10.1
3/31/2015,10.2
4/1/2015,10.9
4/2/2015,10.4
4/6/2015,10.8
4/7/2015,10.6
4/8/2015,10
4/9/2015,9.5
4/10/2015,9.7
4/13/2015,9.84
4/14/2015,9.8
4/15/2015,10.5
4/16/2015,10.1
4/17/2015,9.84
4/20/2015,9.7
4/21/2015,9.7
4/22/2015,9.63
4/23/2015,9.95
4/24/2015,9.84
4/27/2015,10
4/28/2015,10
4/29/2015,10
4/30/2015,10
5/1/2015,9.72
5/4/2015,9.99
5/5/2015,10
5/6/2015,9.7
5/7/2015,10.1
5/8/2015,9.9
5/11/2015,10.2
5/12/2015,10.9
5/13/2015,11.2
5/14/2015,10.9
5/15/2015,11.1
5/18/2015,11
5/19/2015,10.4
5/20/2015,10.4
5/21/2015,10.1
5/22/2015,10.2
5/26/2015,9.79
5/27/2015,9.7
5/28/2015,9.7
5/29/2015,10
6/1/2015,9.7
6/2/2015,9.7
6/3/2015,9.7
6/4/2015,9.7
6/5/2015,9.6
6/8/2015,9.88
6/9/2015,9.52
6/10/2015,9.9
6/11/2015,9.73
6/12/2015,9.8
6/15/2015,9.8
6/16/2015,9.8
6/17/2015,9.8
6/18/2015,9.5
6/19/2015,9.5
6/22/2015,9.7
6/23/2015,9.6
6/24/2015,9.51
6/25/2015,9.56
6/26/2015,9.35
6/29/2015,9.75
6/30/2015,9.59
7/1/2015,9
7/2/2015,9.61
7/6/2015,9.42
7/7/2015,8.9
7/8/2015,8.4
7/9/2015,8.21
7/10/2015,7.83
7/13/2015,7.9
7/14/2015,7.5
7/15/2015,7.8
7/16/2015,8.3
7/17/2015,7.5
7/20/2015,7
7/21/2015,7
7/22/2015,7.15
7/23/2015,6.78
7/24/2015,7.89
7/27/2015,7.48
7/28/2015,7.52
7/29/2015,7.01
7/30/2015,6.85
7/31/2015,7.3
8/3/2015,7.02
8/4/2015,7.9
8/5/2015,7.01
8/6/2015,7.4
8/7/2015,7.03
8/10/2015,7.76
8/11/2015,7.8
8/12/2015,9.5
8/13/2015,8.9
8/14/2015,9.3
8/17/2015,9.41
8/18/2015,9.23
8/19/2015,9.6
8/20/2015,9.7
8/21/2015,9.17
8/24/2015,8.4
8/25/2015,7.8
8/26/2015,7.13
8/27/2015,7.2
8/28/2015,8.65
8/31/2015,9.13
9/1/2015,8.56
9/2/2015,8.2
9/3/2015,8.4
9/4/2015,8.35
9/8/2015,8.45
9/9/2015,8.07
9/10/2015,7.9
9/11/2015,8.4
9/14/2015,8.55
9/15/2015,8.1
9/16/2015,9.1
9/17/2015,9.5
9/18/2015,9.6
9/21/2015,9.14
9/22/2015,8.85
9/23/2015,8.7
9/24/2015,9.3
9/25/2015,9.25
9/28/2015,8.5
9/29/2015,8.6
9/30/2015,8.75
10/1/2015,8.6
10/2/2015,9.35
10/5/2015,9.4
10/6/2015,9.1
10/7/2015,9.53
10/8/2015,9.3
10/9/2015,9.88
10/12/2015,9.6
10/13/2015,9.53
10/14/2015,10.5
10/15/2015,10.6
10/16/2015,10.2
10/19/2015,9.65
10/20/2015,9.9
10/21/2015,9.56
10/22/2015,9.6
10/23/2015,9.4
10/26/2015,9.2
10/27/2015,9.2
10/28/2015,9.21
10/29/2015,9.2
10/30/2015,9
11/2/2015,9.1
11/3/2015,8.7
11/4/2015,8.5
11/5/2015,8.39
11/6/2015,8.2
11/9/2015,8.3
11/10/2015,8.25
11/11/2015,8.5
11/12/2015,8.45
11/13/2015,8.7
11/16/2015,8.7
11/17/2015,8.5
11/18/2015,8.51
11/19/2015,8.75
11/20/2015,8.4
11/23/2015,8.4
11/24/2015,8.75
11/25/2015,8.95
11/27/2015,8.7
11/30/2015,8.9
12/1/2015,9.1
12/2/2015,9.1
12/3/2015,9.2
12/4/2015,9.5
12/7/2015,9.3
12/8/2015,9.2
12/9/2015,9.59
12/10/2015,9.4
12/11/2015,9.5
12/14/2015,9.6
12/15/2015,9.6
12/16/2015,9.75
12/17/2015,9.3
12/18/2015,9.6
12/21/2015,10.4
12/22/2015,10.4
12/23/2015,10.8
12/24/2015,11.2
12/28/2015,11.5
12/29/2015,11.6
12/30/2015,11
12/31/2015,10.6
1/4/2016,11
1/5/2016,11.6
