Date,Close
1/2/2015,29.68
1/5/2015,29.52
1/6/2015,29.77
1/7/2015,30.17
1/8/2015,30.79
1/9/2015,30.93
1/12/2015,31.04
1/13/2015,30.73
1/14/2015,30.77
1/15/2015,30.69
1/16/2015,31.07
1/20/2015,31.36
1/21/2015,30.92
1/22/2015,31.08
1/23/2015,30.74
1/26/2015,31.07
1/27/2015,30.88
1/28/2015,30.27
1/29/2015,30.15
1/30/2015,29.6
2/2/2015,29.98
2/3/2015,30.33
2/4/2015,30.38
2/5/2015,31.25
2/6/2015,31.42
2/9/2015,31.33
2/10/2015,32.35
2/11/2015,32.45
2/12/2015,33.03
2/13/2015,32.82
2/17/2015,32.76
2/18/2015,32.66
2/19/2015,32.6
2/20/2015,32.74
2/23/2015,32.58
2/24/2015,32.53
2/25/2015,32.83
2/26/2015,32.77
2/27/2015,32.51
3/2/2015,32.94
3/3/2015,32.74
3/4/2015,32.82
3/5/2015,32.65
3/6/2015,32.18
3/9/2015,32.24
3/10/2015,32
3/11/2015,31.86
3/12/2015,32.21
3/13/2015,32.21
3/16/2015,32.63
3/17/2015,32.37
3/18/2015,32.57
3/19/2015,32.35
3/20/2015,32.45
3/23/2015,33.2
3/24/2015,32.7
3/25/2015,32.49
3/26/2015,32.36
3/27/2015,32.71
3/30/2015,33.16
3/31/2015,32.96
4/1/2015,32.52
4/2/2015,32.57
4/6/2015,32.66
4/7/2015,32.72
4/8/2015,32.82
4/9/2015,33.19
4/10/2015,33.57
4/13/2015,33.24
4/14/2015,33.19
4/15/2015,33.36
4/16/2015,33.34
4/17/2015,33.19
4/20/2015,33.17
4/21/2015,33.05
4/22/2015,33.09
4/23/2015,33.5
4/24/2015,33.41
4/27/2015,32.77
4/28/2015,32.66
4/29/2015,32.48
4/30/2015,32.14
5/1/2015,32.29
5/4/2015,32.51
5/5/2015,32.32
5/6/2015,31.7
5/7/2015,31.81
5/8/2015,32.23
5/11/2015,32.17
5/12/2015,32
5/13/2015,31.76
5/14/2015,32.15
5/15/2015,32.2
5/18/2015,32.19
5/19/2015,32.41
5/20/2015,32.49
5/21/2015,32.55
5/22/2015,32.47
5/26/2015,32.31
5/27/2015,32.49
5/28/2015,32.63
5/29/2015,32.92
6/1/2015,32.74
6/2/2015,32.67
6/3/2015,32.6
6/4/2015,32.44
6/5/2015,32.29
6/8/2015,32.19
6/9/2015,32.22
6/10/2015,32.5
6/11/2015,32.65
6/12/2015,32.41
6/15/2015,32.25
6/16/2015,32.25
6/17/2015,32.19
6/18/2015,32.56
6/19/2015,32.38
6/22/2015,32.5
6/23/2015,32.68
6/24/2015,32.43
6/25/2015,32.23
6/26/2015,32.13
6/29/2015,31.82
6/30/2015,31.76
7/1/2015,31.92
7/2/2015,31.61
7/6/2015,31.5
7/7/2015,31.95
7/8/2015,31.69
7/9/2015,32.08
7/10/2015,32.55
7/13/2015,32.99
7/14/2015,33.23
7/15/2015,33.14
7/16/2015,33.25
7/17/2015,33.22
7/20/2015,33.38
7/21/2015,33.29
7/22/2015,33.04
7/23/2015,32.95
7/24/2015,32.46
7/27/2015,32.53
7/28/2015,33.49
7/29/2015,33.88
7/30/2015,33.85
7/31/2015,34.16
8/3/2015,34.25
8/4/2015,34.21
8/5/2015,33.93
8/6/2015,33.32
8/7/2015,33.34
8/10/2015,33.5
8/11/2015,33.27
8/12/2015,33.51
8/13/2015,33.5
8/14/2015,33.46
8/17/2015,33.63
8/18/2015,33.65
8/19/2015,33.41
8/20/2015,32.73
