Date,Close
1/2/2015,44
1/5/2015,43.33
1/6/2015,43.04
1/7/2015,44.94
1/8/2015,45.53
1/9/2015,45.4
1/12/2015,45.55
1/13/2015,45.53
1/14/2015,45.58
1/15/2015,46.09
1/16/2015,46.55
1/20/2015,46.94
1/21/2015,47.11
1/22/2015,47.43
1/23/2015,46.7
1/26/2015,46.76
1/27/2015,46.55
1/28/2015,45.82
1/29/2015,46.46
1/30/2015,45.74
2/2/2015,46.33
2/3/2015,46.75
2/4/2015,47.43
2/5/2015,47.92
2/6/2015,48.11
2/9/2015,47.55
2/10/2015,48.03
2/11/2015,47.83
2/12/2015,47.72
2/13/2015,46.88
2/17/2015,46.9
2/18/2015,47.32
2/19/2015,46.63
2/20/2015,46.64
2/23/2015,47.21
2/24/2015,47.22
2/25/2015,47.17
2/26/2015,46.47
2/27/2015,46.59
3/2/2015,46.75
3/3/2015,46.95
3/4/2015,46.31
3/5/2015,46.28
3/6/2015,45.1
3/9/2015,45.49
3/10/2015,45.15
3/11/2015,44.7
3/12/2015,45.28
3/13/2015,45.33
3/16/2015,45.26
3/17/2015,45.16
3/18/2015,45.44
3/19/2015,45.3
3/20/2015,45.75
3/23/2015,45.69
3/24/2015,45.39
3/25/2015,45.4
3/26/2015,45.04
3/27/2015,45.89
3/30/2015,46.45
3/31/2015,46.55
4/1/2015,46.57
4/2/2015,46.63
4/6/2015,46.66
4/7/2015,46.12
4/8/2015,46.23
4/9/2015,46.21
4/10/2015,45.82
4/13/2015,46.12
4/14/2015,46.51
4/15/2015,46.57
4/16/2015,46.51
4/17/2015,46.19
4/20/2015,46.4
4/21/2015,46.05
4/22/2015,46.11
4/23/2015,46.07
4/24/2015,45.81
4/27/2015,45.6
4/28/2015,45.47
4/29/2015,44.94
4/30/2015,44.71
5/1/2015,45.55
5/4/2015,45.74
5/5/2015,45.39
5/6/2015,45.2
5/7/2015,45.48
5/8/2015,45.83
5/11/2015,45.8
5/12/2015,45.93
5/13/2015,45.81
5/14/2015,46.48
5/15/2015,46.85
5/18/2015,46.79
5/19/2015,46.72
5/20/2015,46.7
5/21/2015,46.93
5/22/2015,47.91
5/26/2015,47.74
5/27/2015,48.12
5/28/2015,48.39
5/29/2015,48.34
6/1/2015,48.32
6/2/2015,47.67
6/3/2015,47.38
6/4/2015,47.07
6/5/2015,46.54
6/8/2015,46.28
6/9/2015,46.57
6/10/2015,46.84
6/11/2015,46.83
6/12/2015,46.73
6/15/2015,46.33
6/16/2015,47.55
6/17/2015,47.76
6/18/2015,48.24
6/19/2015,48.27
6/22/2015,48.3
6/23/2015,48.29
6/24/2015,48.01
6/25/2015,47.7
6/26/2015,47.85
6/29/2015,47.01
6/30/2015,47.65
7/1/2015,47.84
7/2/2015,47.66
7/6/2015,47.27
7/7/2015,47.98
7/8/2015,47.57
7/9/2015,47.12
7/10/2015,47.62
7/13/2015,47.83
7/14/2015,48.13
7/15/2015,47.59
7/16/2015,48.02
7/17/2015,47.85
7/20/2015,47.61
7/21/2015,47.46
7/22/2015,48.32
7/23/2015,48.2
7/24/2015,48.28
7/27/2015,48.28
7/28/2015,49
7/29/2015,48.71
7/30/2015,49.17
7/31/2015,49.31
8/3/2015,49.88
8/4/2015,49.68
8/5/2015,50
8/6/2015,50.49
8/7/2015,50.28
8/10/2015,50.48
8/11/2015,50.32
8/12/2015,50.4
8/13/2015,50.26
8/14/2015,50.7
8/17/2015,50.57
8/18/2015,50.23
8/19/2015,50.11
8/20/2015,49.63
8/21/2015,48.61
8/24/2015,47.01
8/25/2015,46.15
8/26/2015,47.43
8/27/2015,47.72
8/28/2015,47.8
8/31/2015,47.99
9/1/2015,46.87
9/2/2015,47.77
9/3/2015,48.53
9/4/2015,47.94
9/8/2015,49.38
9/9/2015,48.72
9/10/2015,49.15
9/11/2015,49.4
9/14/2015,49.51
9/15/2015,50.27
9/16/2015,51.56
9/17/2015,51.57
9/18/2015,51.16
9/21/2015,51.47
9/22/2015,51.12
9/23/2015,51.36
9/24/2015,51.14
9/25/2015,51.67
9/28/2015,50.8
9/29/2015,50.59
9/30/2015,50.68
10/1/2015,50.02
10/2/2015,50.6
10/5/2015,51.36
10/6/2015,50.77
10/7/2015,50.84
10/8/2015,51.33
10/9/2015,51.28
10/12/2015,50.89
10/13/2015,50.3
10/14/2015,49.48
10/15/2015,49.5
10/16/2015,49.49
10/19/2015,49.4
10/20/2015,49.49
10/21/2015,49.71
10/22/2015,51.43
10/23/2015,51.43
10/26/2015,51.61
10/27/2015,51.19
10/28/2015,50.79
10/29/2015,51.2
10/30/2015,50.79
11/2/2015,50.74
11/3/2015,50.23
11/4/2015,50.44
11/5/2015,50.4
11/6/2015,48.77
11/9/2015,48.67
11/10/2015,48.3
11/11/2015,48.87
11/12/2015,48.3
11/13/2015,47.97
11/16/2015,48.68
11/17/2015,48.04
11/18/2015,49.04
11/19/2015,49.47
11/20/2015,48.82
11/23/2015,49.79
11/24/2015,51.33
11/25/2015,52.52
11/27/2015,53.1
11/30/2015,52.24
12/1/2015,52.81
12/2/2015,52.69
12/3/2015,52.44
12/4/2015,53.12
12/7/2015,53.12
12/8/2015,53.49
12/9/2015,53.53
12/10/2015,53.64
12/11/2015,52.99
12/14/2015,53.25
12/15/2015,53.21
12/16/2015,53.72
12/17/2015,53.14
12/18/2015,52.21
12/21/2015,52.66
12/22/2015,53.15
12/23/2015,53.57
12/24/2015,53.32
12/28/2015,53.59
12/29/2015,53.68
12/30/2015,53.21
12/31/2015,52.55
1/4/2016,51.66
1/5/2016,51.85
1/6/2016,51.76
1/7/2016,50.82
1/8/2016,51.11
1/11/2016,51.4
1/12/2016,53.48
1/13/2016,52.79
1/14/2016,53.49
1/15/2016,52.99
1/19/2016,54.33
1/20/2016,54.1
1/21/2016,54.09
1/22/2016,54.65
1/25/2016,54.61
1/26/2016,55.15
1/27/2016,55
1/28/2016,55.73
1/29/2016,56.41
2/1/2016,56.86
2/2/2016,56.31
2/3/2016,56.29
2/4/2016,55.34
2/5/2016,55.84
2/8/2016,56.23
2/9/2016,57.21
2/10/2016,57.89
2/11/2016,57.33
2/12/2016,58.24
2/16/2016,59.44
2/17/2016,60.9
2/18/2016,60.96
2/19/2016,60.94
2/22/2016,60.75
2/23/2016,60.9
2/24/2016,60.53
2/25/2016,62.62
2/26/2016,61.98
2/29/2016,61.75
3/1/2016,61.11
3/2/2016,61.46
3/3/2016,61.87
3/4/2016,61.95
3/7/2016,62.05
3/8/2016,62.51
3/9/2016,63.25
3/10/2016,63.09
3/11/2016,63.99
3/14/2016,63.51
3/15/2016,63.66
3/16/2016,64.25
3/17/2016,64.37
3/18/2016,64.34
3/21/2016,64.31
3/22/2016,63.3
3/23/2016,63.43
3/24/2016,63.17
3/28/2016,63.38
3/29/2016,64.17
3/30/2016,64.16
3/31/2016,63.79
4/1/2016,65.16
4/4/2016,65.47
4/5/2016,64.4
4/6/2016,64.6
4/7/2016,63.86
4/8/2016,64.21
4/11/2016,63.89
4/12/2016,63.98
4/13/2016,62.81
4/14/2016,61.76
4/15/2016,62.02
4/18/2016,62.34
4/19/2016,61.82
4/20/2016,61.4
4/21/2016,59.83
4/22/2016,60.64
4/25/2016,61.04
4/26/2016,60.99
4/27/2016,61.64
4/28/2016,61.49
4/29/2016,61.71
5/2/2016,62.65
5/3/2016,62.12
5/4/2016,62.37
5/5/2016,63.06
5/6/2016,63.92
5/9/2016,64.94
5/10/2016,65.43
5/11/2016,65.46
5/12/2016,66.5
5/13/2016,66.1
5/16/2016,65.88
5/17/2016,63.81
5/18/2016,63.47
5/19/2016,63.98
5/20/2016,59.9
5/23/2016,59.9
5/24/2016,60.91
5/25/2016,60.65
5/26/2016,61.26
5/27/2016,61.19
5/31/2016,60.57
6/1/2016,61.06
6/2/2016,60.73
6/3/2016,61.69
6/6/2016,61.42
6/7/2016,61.7
6/8/2016,61.7
6/9/2016,62.51
6/10/2016,62.7
6/13/2016,62.12
6/14/2016,62.42
6/15/2016,61.81
6/16/2016,62.75
6/17/2016,62.44
6/20/2016,62.41
6/21/2016,62.85
6/22/2016,62.59
6/23/2016,62.64
6/24/2016,62.4
6/27/2016,63.57
6/28/2016,62.75
6/29/2016,62.82
6/30/2016,66.53
7/1/2016,66.06
7/5/2016,67.19
7/6/2016,67.55
7/7/2016,66.83
7/8/2016,67.1
7/11/2016,66.71
7/12/2016,66.47
7/13/2016,66.72
7/14/2016,66.53
7/15/2016,66.62
7/18/2016,66.57
7/19/2016,66.63
7/20/2016,64.58
7/21/2016,63.34
7/22/2016,63.38
7/25/2016,63.74
7/26/2016,62.61
7/27/2016,61.44
7/28/2016,61.59
7/29/2016,62.27
8/1/2016,62.05
8/2/2016,61.31
8/3/2016,60.87
8/4/2016,61.12
8/5/2016,61.32
8/8/2016,61.35
8/9/2016,61.34
8/10/2016,61.31
8/11/2016,61.09
8/12/2016,60.96
8/15/2016,60.61
8/16/2016,60.13
